Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate
Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good
Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good
Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good
India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy
Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good
Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good
Kazakhstan,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate
United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate
Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good
Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good
India,Yaval,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups
China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
Poland,Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good
Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good
Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate
Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good
Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good
Spain,Abaran,47,Good,1,Good,21,Good,2,Good,47,Good
Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups
Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy
United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
United States of America,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy
Nigeria,Agbor,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,Unhealthy for Sensitive Groups
France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate
Myanmar,Akyab,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,Unhealthy for Sensitive Groups
United States of America,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
Russian Federation,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good
Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
Brazil,Almirante Tamandare,13,Good,1,Good,12,Good,1,Good,13,Good
Spain,Almoradi,48,Good,1,Good,23,Good,3,Good,48,Good
Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good
Germany,Altotting,50,Good,1,Good,29,Good,3,Good,50,Good
Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good
China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate
Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
Lithuania,Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good
Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups
Mexico,Apaseo El Grande,60,Moderate,1,Good,16,Good,5,Good,60,Moderate
Brazil,Aragarcas,32,Good,1,Good,3,Good,2,Good,32,Good
Russian Federation,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good
France,Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good
Russian Federation,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good
Azerbaijan,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good
Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good
Ethiopia,Asosa,97,Moderate,1,Good,14,Good,0,Good,97,Moderate
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,Moderate,1,Good,37,Good,0,Good,75,Moderate
India,Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy
Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups
Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate
Ukraine,Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good
Portugal,Avintes,37,Good,1,Good,16,Good,7,Good,37,Good
Malaysia,Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good
Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good
Serbia,Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate
Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good
Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
South Africa,Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous
South Africa,Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy
Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
Malaysia,Bandar Penggaram,76,Moderate,1,Good,39,Good,0,Good,76,Moderate
Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good
Slovakia,Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate
Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good
United States of America,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate
Gambia,Basse,127,Unhealthy for Sensitive Groups,1,Good,18,Good,0,Good,127,Unhealthy for Sensitive Groups
Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate
Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate
India,Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy
Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups
Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate
Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate
Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good
Bosnia and Herzegovina,Cazin,50,Good,1,Good,33,Good,0,Good,50,Good
Italy,Cernusco Sul Naviglio,103,Unhealthy for Sensitive Groups,1,Good,33,Good,6,Good,103,Unhealthy for Sensitive Groups
Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good
Czechia,Ceske Budejovice,61,Moderate,1,Good,38,Good,1,Good,61,Moderate
Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good
Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good
France,Chalon Sur Saone,32,Good,1,Good,32,Good,1,Good,20,Good
China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy
Viet Nam,Chau Doc,57,Moderate,1,Good,32,Good,0,Good,57,Moderate
Russian Federation,Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good
Russian Federation,Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good
India,Chhabra,171,Unhealthy,1,Good,42,Good,0,Good,171,Unhealthy
India,Chilakalurupet,91,Moderate,1,Good,28,Good,1,Good,91,Moderate
Mexico,Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate
India,Chipurupalle,153,Unhealthy,2,Good,22,Good,6,Good,153,Unhealthy
Poland,Chojnow,59,Moderate,1,Good,25,Good,2,Good,59,Moderate
India,Chotila,157,Unhealthy,0,Good,31,Good,1,Good,157,Unhealthy
United States of America,Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate
Brazil,Claudio,71,Moderate,2,Good,3,Good,6,Good,71,Moderate
Brazil,Clevelandia,17,Good,0,Good,17,Good,0,Good,11,Good
Brazil,Coari,46,Good,1,Good,2,Good,0,Good,46,Good
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good
Ireland,Cobh,24,Good,0,Good,24,Good,1,Good,16,Good
Brazil,Colatina,45,Good,1,Good,14,Good,2,Good,45,Good
Romania,Comanesti,61,Moderate,1,Good,40,Good,0,Good,61,Moderate
Dominican Republic,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate
Italy,Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups
Brazil,Conde,19,Good,0,Good,19,Good,0,Good,11,Good
United Kingdom of Great Britain and Northern Ireland,Consett,31,Good,0,Good,31,Good,2,Good,22,Good
United States of America,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
United States of America,Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good
Brazil,Cornelio Procopio,37,Good,1,Good,12,Good,1,Good,37,Good
Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good
Mexico,Cotija,41,Good,1,Good,8,Good,3,Good,41,Good
Italy,Crevalcore,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups
Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
Spain,Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good
India,Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
Brazil,Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good
Germany,Cuxhaven,35,Good,0,Good,35,Good,0,Good,30,Good
United States of America,Cypress Lake,46,Good,1,Good,25,Good,5,Good,46,Good
Poland,Czestochowa,93,Moderate,1,Good,27,Good,4,Good,93,Moderate
Guinea,Dalaba,63,Moderate,2,Good,13,Good,0,Good,63,Moderate
Pakistan,Dalbandin,160,Unhealthy,0,Good,39,Good,0,Good,160,Unhealthy
France,Beaune,39,Good,1,Good,26,Good,1,Good,39,Good
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
Ghana,Begoro,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups
China,Beipiao,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate
Brazil,Bela Cruz,45,Good,0,Good,22,Good,0,Good,45,Good
Bolivia (Plurinational State of),Bermejo,54,Moderate,1,Good,8,Good,1,Good,54,Moderate
Germany,Bernburg,36,Good,0,Good,29,Good,2,Good,36,Good
United States of America,Berwick,50,Good,1,Good,35,Good,5,Good,50,Good
India,Betma,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
United States of America,Beverly,48,Good,1,Good,36,Good,5,Good,48,Good
Russian Federation,Bezhetsk,24,Good,0,Good,24,Good,0,Good,24,Good
Bangladesh,Bhairab Bazar,132,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,132,Unhealthy for Sensitive Groups
Pakistan,Bhalwal,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
India,Bhimavaram,124,Unhealthy for Sensitive Groups,1,Good,36,Good,1,Good,124,Unhealthy for Sensitive Groups
India,Bhinmal,202,Very Unhealthy,0,Good,34,Good,0,Good,202,Very Unhealthy
India,Bhiwandi,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy
Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate
Brazil,Baiao,39,Good,1,Good,5,Good,0,Good,39,Good
Russian Federation,Baksan,48,Good,1,Good,39,Good,1,Good,48,Good
Sudan,Bara,52,Moderate,2,Good,17,Good,0,Good,52,Moderate
Colombia,Baranoa,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups
Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate
Iran (Islamic Republic of),Bardsir,91,Moderate,1,Good,49,Good,0,Good,91,Moderate
India,Bari Sadri,167,Unhealthy,1,Good,32,Good,0,Good,167,Unhealthy
Thailand,Nong Bua,38,Good,0,Good,20,Good,0,Good,38,Good
Thailand,Nong Han,57,Moderate,0,Good,25,Good,0,Good,57,Moderate
Netherlands,Noordwijkerhout,41,Good,1,Good,27,Good,5,Good,41,Good
United States of America,North Andrews Gardens,78,Moderate,1,Good,11,Good,12,Good,78,Moderate
United States of America,Northbridge,47,Good,1,Good,46,Good,2,Good,47,Good
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good
Serbia,Novi Becej,60,Moderate,1,Good,34,Good,1,Good,60,Moderate
Netherlands,Nuenen,37,Good,1,Good,32,Good,3,Good,37,Good
Chile,Nueva Imperial,61,Moderate,2,Good,2,Good,9,Good,61,Moderate
Panama,Nuevo Arraijan,67,Moderate,2,Good,20,Good,5,Good,67,Moderate
Mexico,Nuevo Casas Grandes,46,Good,1,Good,17,Good,2,Good,46,Good
United States of America,Oak Lawn,79,Moderate,2,Good,13,Good,27,Good,79,Moderate
United States of America,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate
Ghana,Obuasi,81,Moderate,1,Good,18,Good,0,Good,81,Moderate
Japan,Odawara,39,Good,1,Good,38,Good,2,Good,39,Good
Germany,Oer Erkenschwick,34,Good,1,Good,34,Good,2,Good,27,Good
Republic of North Macedonia,Ohrid,42,Good,1,Good,41,Good,0,Good,42,Good
Japan,Okawa,41,Good,2,Good,36,Good,5,Good,41,Good
Poland,Olecko,47,Good,1,Good,36,Good,0,Good,47,Good
Germany,Olfen,32,Good,1,Good,27,Good,4,Good,32,Good
Brazil,Olindina,25,Good,0,Good,6,Good,1,Good,25,Good
Japan,Omagari,35,Good,1,Good,35,Good,0,Good,15,Good
Netherlands,Oostburg,36,Good,1,Good,26,Good,3,Good,36,Good
United States of America,Orem,73,Moderate,2,Good,26,Good,7,Good,73,Moderate
United States of America,Orinda,52,Moderate,1,Good,22,Good,11,Good,52,Moderate
Poland,Ostrzeszow,35,Good,1,Good,32,Good,1,Good,35,Good
Guatemala,Ostuncalco,94,Moderate,3,Good,9,Good,11,Good,94,Moderate
Congo,Ouesso,71,Moderate,3,Good,18,Good,0,Good,71,Moderate
Brazil,Ouro Preto,61,Moderate,2,Good,3,Good,5,Good,61,Moderate
Nigeria,Oyo,80,Moderate,2,Good,22,Good,1,Good,80,Moderate
Kyrgyzstan,Ozgon,101,Unhealthy for Sensitive Groups,1,Good,60,Moderate,0,Good,101,Unhealthy for Sensitive Groups
Italy,Pachino,48,Good,1,Good,45,Good,0,Good,48,Good
India,Padra,156,Unhealthy,1,Good,33,Good,0,Good,156,Unhealthy
Mauritius,Pailles,30,Good,0,Good,28,Good,0,Good,30,Good
France,Paita,27,Good,0,Good,27,Good,0,Good,10,Good
India,Palakkodu,57,Moderate,0,Good,30,Good,0,Good,57,Moderate
Philippines,Palo,55,Moderate,1,Good,20,Good,0,Good,55,Moderate
Indonesia,Pamekasan,54,Moderate,1,Good,35,Good,0,Good,54,Moderate
China,Panchiao,69,Moderate,1,Good,45,Good,4,Good,69,Moderate
China,Panshi,76,Moderate,3,Good,32,Good,2,Good,76,Moderate
China,Panzhihua,74,Moderate,3,Good,29,Good,2,Good,74,Moderate
Brazil,Paragominas,36,Good,1,Good,2,Good,0,Good,36,Good
Brazil,Paraguacu,51,Moderate,1,Good,7,Good,4,Good,51,Moderate
Peru,Paramonga,41,Good,1,Good,18,Good,1,Good,41,Good
United States of America,Parkville,56,Moderate,1,Good,44,Good,4,Good,56,Moderate
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate
United States of America,Pataskala,45,Good,1,Good,32,Good,7,Good,45,Good
Kazakhstan,Pavlodar,50,Good,1,Good,41,Good,0,Good,50,Good
India,Payyannur,68,Moderate,0,Good,24,Good,0,Good,68,Moderate
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good
Greece,Perama,67,Moderate,1,Good,44,Good,2,Good,67,Moderate
Mexico,Perote,77,Moderate,3,Good,7,Good,8,Good,77,Moderate
Serbia,Petrovaradin,63,Moderate,1,Good,33,Good,1,Good,63,Moderate
Thailand,Phanom Thuan,42,Good,0,Good,19,Good,0,Good,42,Good
Thailand,Phatthalung,59,Moderate,1,Good,27,Good,0,Good,59,Moderate
Thailand,Phetchaburi,35,Good,0,Good,17,Good,0,Good,35,Good
India,Phillaur,444,Hazardous,2,Good,111,Unhealthy for Sensitive Groups,1,Good,391,Hazardous
Egypt,Rosetta,60,Moderate,2,Good,60,Moderate,3,Good,55,Moderate
Italy,Rossano,48,Good,1,Good,48,Good,0,Good,12,Good
Russian Federation,Rostov,32,Good,1,Good,32,Good,0,Good,26,Good
United Kingdom of Great Britain and Northern Ireland,Royton,56,Moderate,0,Good,32,Good,1,Good,56,Moderate
Germany,Rudolstadt,32,Good,1,Good,32,Good,1,Good,30,Good
Czechia,Rumburk,29,Good,0,Good,29,Good,2,Good,29,Good
Malawi,Rumphi,28,Good,0,Good,19,Good,0,Good,28,Good
Switzerland,Ruti,34,Good,1,Good,25,Good,2,Good,34,Good
Brazil,Ruy Barbosa,18,Good,0,Good,8,Good,0,Good,18,Good
Serbia,Sabac,68,Moderate,1,Good,32,Good,1,Good,68,Moderate
Cuba,Sagua La Grande,89,Moderate,1,Good,22,Good,1,Good,89,Moderate
India,Sahibganj,208,Very Unhealthy,3,Good,152,Unhealthy,1,Good,208,Very Unhealthy
United States of America,Saint Matthews,58,Moderate,2,Good,29,Good,12,Good,58,Moderate
United States of America,Saint Pete Beach,53,Moderate,1,Good,40,Good,6,Good,53,Moderate
Canada,Saint Thomas,35,Good,1,Good,35,Good,3,Good,34,Good
France,Saint Cyr Sur Loire,37,Good,1,Good,25,Good,2,Good,37,Good
Belgium,Saint Nicolas,35,Good,1,Good,32,Good,3,Good,35,Good
France,Saint Quentin,39,Good,1,Good,25,Good,2,Good,39,Good
Saudi Arabia,Sakakah,122,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,122,Unhealthy for Sensitive Groups
Japan,Sakurai,40,Good,1,Good,40,Good,2,Good,34,Good
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,0,Good,32,Good,1,Good,58,Moderate
India,Salon,303,Hazardous,1,Good,48,Good,0,Good,260,Very Unhealthy
Brazil,Salvador,30,Good,0,Good,16,Good,1,Good,30,Good
India,Sambhar,193,Unhealthy,0,Good,38,Good,0,Good,193,Unhealthy
Turkey,Samsun,36,Good,1,Good,36,Good,0,Good,30,Good
Indonesia,Prabumulih,49,Good,1,Good,30,Good,0,Good,49,Good
Brazil,Presidente Prudente,32,Good,1,Good,14,Good,1,Good,32,Good
United States of America,Prichard,28,Good,1,Good,22,Good,4,Good,28,Good
Canada,Prince George,21,Good,1,Good,21,Good,1,Good,13,Good
